Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
"190 - Brick, tile, and other structural clay product manufacturing",0.0,41.18,49.26,90.44,0.0,42.01,48.69,90.69,0.25,0.2764263600176913,0.0,13395477.22,16024987.67,29420464.89,0.0,13664003.38,15837456.62,29501460.0,80995.1099999994,0.2753019379633583
191 - Flat glass manufacturing,0.0,19.32,36.07,55.38,0.0,19.7,35.64,55.35,-0.030000000000001137,-0.05417118093174636,0.0,8949203.48,16708280.01,25657483.49,0.0,9128599.5,16513180.95,25641780.45,-15703.039999999106,-0.06120257275472618
192 - Other pressed and blown glass and glassware manufacturing,0.0,27.03,82.52,109.55,0.0,27.57,81.56,109.13,-0.4200000000000017,-0.38338658146965016,0.0,10023663.02,30606933.55,40630596.57,0.0,10224597.69,30249910.37,40474508.05,-156088.52000000328,-0.3841649721561134
193 - Glass container manufacturing,0.0,23.21,155.98,179.2,0.0,23.68,154.15,177.83,-1.3699999999999761,-0.7645089285714153,0.0,13421803.96,90185073.71,103606877.68,0.0,13690857.87,89124908.33,102815766.2,-791111.4800000042,-0.7635704286383665
194 - Glass product manufacturing made of purchased glass,0.0,109.46,263.49,372.94,0.0,111.65,260.41,372.06,-0.8799999999999955,-0.23596288947283625,0.0,37849017.42,91110792.1,128959809.52,0.0,38607740.02,90045558.69,128653298.72,-306510.799999997,-0.23767932128688604
195 - Cement manufacturing,0.0,82.37,38.8,121.17,0.0,84.02,38.35,122.37,1.2000000000000028,0.9903441445902473,0.0,80951677.29,38134002.39,119085679.68,0.0,82574437.17,37688118.2,120262555.37,1176875.6899999976,0.9882596237955967
196 - Ready-mix concrete manufacturing,0.0,256.96,225.93,482.89,0.0,262.11,223.29,485.4,2.509999999999991,0.5197871150779662,0.0,132849525.6,116809731.65,249659257.25,0.0,135512631.39,115445615.66,250958247.06,1298989.8100000024,0.5203050847416564
197 - Concrete block and brick manufacturing,0.0,48.93,55.48,104.42,0.0,49.91,54.84,104.75,0.3299999999999983,0.3160314116069702,0.0,19756470.95,22401182.27,42157653.23,0.0,20152509.8,22139736.75,42292246.54,134593.31000000238,0.3192618651368
198 - Concrete pipe manufacturing,0.0,39.66,34.17,73.83,0.0,40.46,33.77,74.23,0.4000000000000057,0.5417851821752753,0.0,16116539.09,13884006.47,30000545.56,0.0,16439611.74,13720340.03,30159951.77,159406.2100000009,0.5313443706588411
199 - Other concrete product manufacturing,0.0,172.58,169.27,341.84,0.0,176.04,167.28,343.32,1.4800000000000182,0.4329510882284163,0.0,59950551.07,58800904.21,118751455.28,0.0,61152321.72,58111082.88,119263404.59,511949.3100000024,0.43110992517345964
2 - Grain farming,0.0,205.32,2023.93,2229.25,0.0,209.44,2000.0,2209.44,-19.809999999999945,-0.8886396770214173,0.0,87550092.28,862999949.85,950550042.13,0.0,89305124.2,852798304.0,942103428.2,-8446613.929999948,-0.8886027621515549
20 - Oil and gas extraction,0.0,13462.41,2829.68,16292.09,0.0,13732.27,2796.33,16528.61,236.52000000000044,1.451747443084346,0.0,11651333094.76,2449007342.95,14100340437.71,0.0,11884896086.59,2420147733.63,14305043820.22,204703382.51000023,1.451761986983951
200 - Lime manufacturing,0.0,24.88,24.37,49.25,0.0,25.38,24.09,49.46,0.21000000000000085,0.42639593908629614,0.0,18873854.08,18488365.0,37362219.08,0.0,19252199.95,18270686.12,37522886.07,160666.9900000021,0.43002528745945706
201 - Gypsum product manufacturing,0.0,60.04,53.55,113.59,0.0,61.24,52.93,114.17,0.5799999999999983,0.5106083281979032,0.0,49944690.05,44549302.76,94493992.82,0.0,50945882.89,44029914.92,94975797.81,481804.99000000954,0.5098789622720163
202 - Abrasive product manufacturing,0.0,45.57,27.13,72.69,0.0,46.48,26.81,73.29,0.6000000000000085,0.8254230293025293,0.0,16421565.14,9776471.76,26198036.89,0.0,16750752.35,9662581.21,26413333.56,215296.66999999806,0.8218045913286676
203 - Cut stone and stone product manufacturing,0.0,10.03,164.11,174.14,0.0,10.23,162.13,172.36,-1.7799999999999727,-1.0221660732743614,0.0,2246053.1,36747733.2,38993786.3,0.0,2291077.55,36304876.95,38595954.5,-397831.799999997,-1.020244089505094
204 - Ground or treated mineral and earth manufacturing,0.0,28.69,26.68,55.37,0.0,29.26,26.37,55.63,0.2600000000000051,0.46956835831678734,0.0,20198916.51,18785169.53,38984086.04,0.0,20603824.63,18565635.02,39169459.65,185373.6099999994,0.47551098109570916
205 - Mineral wool manufacturing,0.0,49.73,27.59,77.33,0.0,50.73,27.27,78.0,0.6700000000000017,0.8664166558903422,0.0,28719617.57,15934661.42,44654278.99,0.0,29295331.93,15748912.97,45044244.9,389965.9099999964,0.8733002050874596
206 - Miscellaneous nonmetallic mineral products manufacturing,0.0,308.43,19.04,327.47,0.0,314.62,18.82,333.43,5.9599999999999795,1.8200140470882764,0.0,155169575.04,9578442.03,164748017.07,0.0,158280109.25,9466419.81,167746529.06,2998511.9900000095,1.8200595329326288
207 - Iron and steel mills and ferroalloy manufacturing,0.0,402.71,238.78,641.49,0.0,410.78,236.0,646.78,5.289999999999964,0.8246426288796339,0.0,689625344.31,408896980.26,1098522324.57,0.0,703449595.78,404132711.69,1107582307.47,9059982.900000095,0.8247427200486334
"208 - Iron, steel pipe and tube manufacturing from purchased steel",0.0,126.04,74.34,200.38,0.0,128.57,73.47,202.04,1.6599999999999966,0.8284259906178244,0.0,107821152.23,63589594.74,171410746.97,0.0,109982538.46,62849306.17,172831844.63,1421097.6599999964,0.8290598373325532
209 - Rolled steel shape manufacturing,0.0,100.33,59.02,159.35,0.0,102.34,58.34,160.68,1.3300000000000125,0.8346407279573346,0.0,124993188.28,73532554.18,198525742.45,0.0,127498805.68,72676294.54,200175100.22,1649357.7700000107,0.8308029727758919
21 - Coal mining,0.0,347.89,318.11,665.99,0.0,354.86,314.36,669.22,3.230000000000018,0.48499226715116117,0.0,275563842.97,251975904.37,527539747.34,0.0,281087804.48,249006560.18,530094364.66,2554617.3200000525,0.48425115507999794
210 - Steel wire drawing,0.0,71.84,39.6,111.44,0.0,73.28,39.13,112.41,0.9699999999999989,0.8704235463029423,0.0,49072723.96,27049719.64,76122443.6,0.0,50056437.34,26731503.3,76787940.64,665497.0400000066,0.8742455030700126
211 - Alumina refining and primary aluminum production,0.0,25.05,31.26,56.3,0.0,25.55,30.89,56.44,0.14000000000000057,0.24866785079929055,0.0,21843446.2,27260095.63,49103541.84,0.0,22281320.62,26941332.08,49222652.7,119110.8599999994,0.24257081166998645
212 - Secondary smelting and alloying of aluminum,0.0,18.21,22.41,40.62,0.0,18.58,22.14,40.72,0.10000000000000142,0.2461841457410178,0.0,36782804.14,45249894.04,82032698.18,0.0,37520153.4,44720813.67,82240967.07,208268.8899999857,0.2538852123856664
"213 - Aluminum sheet, plate, and foil manufacturing",0.0,40.99,76.54,117.54,0.0,41.82,75.65,117.46,-0.0800000000000125,-0.06806193636210014,0.0,54002879.92,100831022.86,154833902.79,0.0,55085423.36,99651193.85,154736617.21,-97285.57999998331,-0.06283222101036294
"214 - Other aluminum rolling, drawing and extruding",0.0,70.1,120.98,191.08,0.0,71.51,119.56,191.07,-0.010000000000019327,-0.005233410090024767,0.0,46136404.4,79624362.07,125760766.47,0.0,47061256.22,78689760.76,125751016.98,-9749.489999994636,-0.007752409812419804
215 - Nonferrous metal (exc aluminum) smelting and refining,0.0,7.4,8.11,15.51,0.0,7.55,8.01,15.56,0.05000000000000071,0.3223726627981993,0.0,14211905.3,15559701.94,29771607.25,0.0,14496797.61,15377541.61,29874339.22,102731.96999999881,0.3450669261398335
"216 - Copper rolling, drawing, extruding and alloying",0.0,117.23,72.48,189.71,0.0,119.58,71.63,191.21,1.5,0.7906805123609719,0.0,204199213.0,126252270.82,330451483.82,0.0,208292596.88,124779541.51,333072138.39,2620654.569999993,0.7930527470191321
"217 - Nonferrous metal, except copper and aluminum, shaping",0.0,41.84,28.0,69.84,0.0,42.68,27.67,70.35,0.5099999999999909,0.7302405498281656,0.0,25464854.11,17042959.06,42507813.17,0.0,25975323.38,16843510.49,42818833.86,311020.6899999976,0.7316788769070371
218 - Secondary processing of other nonferrous metals,0.0,17.02,15.97,32.99,0.0,17.36,15.79,33.15,0.1599999999999966,0.48499545316761616,0.0,18095798.44,16987059.98,35082858.42,0.0,18458547.39,16788307.53,35246854.92,163996.5,0.46745478386250605
219 - Ferrous metal foundries,0.0,577.03,151.35,728.39,0.0,588.6,149.59,738.19,9.800000000000068,1.3454330784332664,0.0,243883376.0,63969902.36,307853278.37,0.0,248772269.87,63225255.94,311997525.81,4144247.4399999976,1.346176159611705
"22 - Copper, nickel, lead, and zinc mining",0.0,83.47,146.73,230.21,0.0,85.15,145.04,230.19,-0.020000000000010232,-0.008687719907914613,0.0,56425578.03,99186035.54,155611613.57,0.0,57556686.95,98043954.16,155600641.11,-10972.459999978542,-0.007051183229998906
220 - Nonferrous metal foundries,0.0,790.55,168.41,958.96,0.0,806.4,166.45,972.84,13.879999999999995,1.4474013514640856,0.0,239113596.08,50937357.0,290050953.08,0.0,243906874.79,50344257.85,294251132.64,4200179.560000002,1.4480833506661623
221 - Custom roll forming,0.0,46.13,21.27,67.41,0.0,47.06,21.02,68.08,0.6700000000000017,0.9939178163477255,0.0,25012675.12,11532662.66,36545337.78,0.0,25514080.0,11398305.09,36912385.09,367047.3100000024,1.0043615199552887
"222 - Metal crown, closure, and other metal stamping (except automotive)",0.0,168.04,211.45,379.49,0.0,171.41,208.98,380.39,0.8999999999999773,0.23716039948351136,0.0,56774927.74,71442393.63,128217321.38,0.0,57913039.74,70607131.82,128520171.56,302850.18000000715,0.2362006761180454
223 - Iron and steel forging,0.0,177.22,67.62,244.84,0.0,180.77,66.84,247.61,2.7700000000000102,1.131351086423791,0.0,85186594.34,32505855.91,117692450.25,0.0,86894247.5,32127853.32,119022100.83,1329650.5799999982,1.1297670982085772
224 - Nonferrous forging,0.0,75.5,29.82,105.32,0.0,77.02,29.47,106.49,1.1700000000000017,1.1109001139384749,0.0,33108427.26,13075468.48,46183895.73,0.0,33772119.84,12923451.91,46695571.75,511676.0200000033,1.1079100450757997
"225 - Cutlery, utensil, pot, and pan manufacturing",0.0,28.17,73.15,101.32,0.0,28.73,72.29,101.03,-0.28999999999999204,-0.28622187129884724,0.0,18182473.8,47218455.9,65400929.69,0.0,18546960.24,46664307.17,65211267.41,-189662.2800000012,-0.289999363768985
226 - Handtool manufacturing,0.0,87.58,165.93,253.51,0.0,89.33,163.98,253.31,-0.19999999999998863,-0.07889235138652859,0.0,32982523.65,62489786.83,95472310.48,0.0,33643692.36,61755244.74,95398937.1,-73373.38000001013,-0.0768530473716573
227 - Prefabricated metal buildings and components manufacturing,0.0,26.43,36.36,62.79,0.0,26.96,35.94,62.9,0.10999999999999943,0.17518713170886993,0.0,13879584.63,19091685.55,32971270.19,0.0,14157815.23,18869377.01,33027192.24,55922.04999999702,0.16960841871647958
228 - Fabricated structural metal manufacturing,0.0,560.61,277.49,838.1,0.0,571.85,274.27,846.13,8.029999999999973,0.9581195561388823,0.0,315164369.99,155997192.33,471161562.33,0.0,321482164.93,154191277.43,475673442.35,4511880.0200000405,0.9576078315233905
229 - Plate work manufacturing,0.0,566.81,247.28,814.09,0.0,578.17,244.36,822.54,8.449999999999932,1.0379687749511641,0.0,179561209.77,78335736.75,257896946.52,0.0,183160699.46,77413005.95,260573705.41,2676758.8899999857,1.0379180235049437
23 - Iron ore mining,0.0,25.49,16.0,41.5,0.0,26.01,15.82,41.82,0.3200000000000003,0.7710843373493983,0.0,16806082.03,10548866.37,27354948.4,0.0,17142977.28,10425873.51,27568850.79,213902.3900000006,0.7819513561941158
230 - Metal window and door manufacturing,0.0,177.57,178.49,356.06,0.0,181.13,176.41,357.53,1.4699999999999704,0.41285176655619005,0.0,66428879.21,66774837.35,133203716.56,0.0,67760514.62,65994686.96,133755201.58,551485.0199999958,0.414016240869365
231 - Sheet metal work manufacturing,0.0,338.91,259.93,598.84,0.0,345.7,256.9,602.61,3.769999999999982,0.6295504642308433,0.0,112439370.14,86235969.24,198675339.38,0.0,114693333.31,85231881.34,199925214.65,1249875.2700000107,0.6291043840168881
232 - Ornamental and architectural metal work manufacturing,0.0,163.11,178.65,341.76,0.0,166.38,176.56,342.94,1.1800000000000068,0.34527153558052637,0.0,47807336.55,52363614.82,100170951.37,0.0,48765683.93,51750987.21,100516671.14,345719.7699999958,0.34512976593684896
233 - Power boiler and heat exchanger manufacturing,0.0,9.19,8.81,18.0,0.0,9.38,8.7,18.08,0.0799999999999983,0.444444444444435,0.0,3680313.9,3525767.59,7206081.49,0.0,3754089.59,3484265.85,7238355.43,32273.93999999948,0.4478708719126555
234 - Metal tank (heavy gauge) manufacturing,0.0,20.16,14.34,34.5,0.0,20.57,14.17,34.74,0.240000000000002,0.6956521739130492,0.0,7733130.07,5497410.62,13230540.69,0.0,7888148.64,5433059.27,13321207.91,90667.22000000067,0.6852873372630145
235 - Metal cans manufacturing,0.0,28.98,215.99,244.97,0.0,29.56,213.43,242.98,-1.990000000000009,-0.8123443686982116,0.0,34536130.77,257445638.65,291981769.42,0.0,35228443.14,254383427.07,289611870.21,-2369899.210000038,-0.8116599932617936
"236 - Metal barrels, drums and pails manufacturing",0.0,31.66,87.3,118.96,0.0,32.29,86.27,118.56,-0.3999999999999915,-0.33624747814390676,0.0,15804152.24,43584189.23,59388341.48,0.0,16120962.78,43067383.11,59188345.88,-199995.59999999404,-0.33675902545173086
237 - Hardware manufacturing,0.0,139.12,99.87,238.99,0.0,141.91,98.72,240.62,1.6299999999999955,0.6820369053098437,0.0,67031154.84,48122668.13,115153822.97,0.0,68374863.49,47566469.34,115941332.82,787509.849999994,0.6838764269295314
238 - Spring and wire product manufacturing,0.0,331.77,174.06,505.83,0.0,338.42,172.02,510.44,4.610000000000014,0.9113733863155633,0.0,120023140.1,62967264.3,182990404.4,0.0,122429127.76,62229765.39,184658893.16,1668488.7599999905,0.9117903015028205
239 - Machine shops,0.0,4727.82,1241.18,5968.99,0.0,4822.59,1226.67,6049.26,80.27000000000044,1.3447836233600734,0.0,1022696528.68,268485050.42,1291181579.1,0.0,1043197535.65,265346942.32,1308544477.97,17362898.870000124,1.3447294440261988
24 - Gold ore and silver ore mining,0.0,52.09,67.83,119.91,0.0,53.13,67.04,120.17,0.2600000000000051,0.2168292886331458,0.0,36914734.81,48070657.03,84985391.84,0.0,37654728.75,47511721.33,85166450.08,181058.23999999464,0.21304630840658914
"240 - Turned product and screw, nut, and bolt manufacturing",0.0,749.16,242.91,992.08,0.0,764.18,240.08,1004.26,12.17999999999995,1.2277235706797789,0.0,255426587.71,82821102.62,338247690.34,0.0,260546877.17,81855562.68,342402439.85,4154749.51000005,1.2283157072924216
241 - Metal heat treating,0.0,550.23,104.27,654.5,0.0,561.26,103.05,664.31,9.809999999999945,1.498854087089373,0.0,194216649.58,36804894.92,231021544.51,0.0,198109922.69,36373189.76,234483112.45,3461567.9399999976,1.4983745119278953
242 - Metal coating and nonprecious engraving,0.0,1871.39,330.89,2202.29,0.0,1908.91,327.01,2235.92,33.63000000000011,1.5270468466914033,0.0,714639923.92,126359199.42,840999123.34,0.0,728965618.44,124875977.48,853841595.92,12842472.579999924,1.5270494610025835
"243 - Electroplating, anodizing, and coloring metal",0.0,1649.63,306.75,1956.38,0.0,1682.7,303.15,1985.85,29.4699999999998,1.5063535713920506,0.0,306660807.99,57024247.62,363685055.61,0.0,312808140.25,56354741.03,369162881.28,5477825.669999957,1.5062003746104262
"244 - Valve and fittings, other than plumbing, manufacturing",0.0,643.98,157.57,801.55,0.0,656.88,155.73,812.61,11.06000000000006,1.3798265859896524,0.0,309019589.15,75613697.0,384633286.15,0.0,315214205.61,74727151.21,389941356.82,5308070.670000017,1.380034141904704
245 - Plumbing fixture fitting and trim manufacturing,0.0,33.54,40.3,73.84,0.0,34.21,39.83,74.04,0.20000000000000284,0.27085590465872544,0.0,26620421.7,31983385.63,58603807.33,0.0,27154055.52,31611556.49,58765612.0,161804.6700000018,0.2760992457177301
246 - Ball and roller bearing manufacturing,0.0,96.89,52.2,149.09,0.0,98.83,51.59,150.42,1.329999999999984,0.8920786102354176,0.0,36820881.49,19838654.0,56659535.49,0.0,37558994.04,19606088.39,57165082.43,505546.9399999976,0.8922539438912679
247 - Small arms ammunition manufacturing,0.0,40.39,151.37,191.75,0.0,41.2,149.64,190.83,-0.9199999999999875,-0.4797913950456258,0.0,19101310.0,71591566.66,90692876.66,0.0,19484215.46,70772535.09,90256750.55,-436126.1099999994,-0.48088243097084643
"248 - Ammunition, except for small arms, manufacturing",0.0,5.17,21.43,26.59,0.0,5.27,21.18,26.45,-0.14000000000000057,-0.5265137269650266,0.0,1499746.82,6220580.71,7720327.53,0.0,1529810.8,6149419.14,7679229.93,-41097.60000000056,-0.5323297468961211
"249 - Small arms, ordnance, and accessories manufacturing",0.0,39.64,205.86,245.5,0.0,40.43,203.5,243.94,-1.5600000000000023,-0.6354378818737281,0.0,22959325.39,119233824.37,142193149.76,0.0,23419568.75,117870729.4,141290298.16,-902851.599999994,-0.6349473244835406
25 - Other metal ore mining,0.0,36.22,32.64,68.86,0.0,36.94,32.25,69.2,0.3400000000000034,0.49375544583212816,0.0,25913773.58,23355050.64,49268824.22,0.0,26433241.91,23079632.51,49512874.42,244050.20000000298,0.495344071760767
250 - Fabricated pipe and pipe fitting manufacturing,0.0,73.75,38.08,111.83,0.0,75.23,37.64,112.87,1.0400000000000063,0.9299830099257858,0.0,25252658.18,13038534.19,38291192.37,0.0,25758873.76,12886493.03,38645366.79,354174.4200000018,0.9249500944699932
251 - Other fabricated metal manufacturing,0.0,265.19,378.32,643.51,0.0,270.5,373.9,644.4,0.8899999999999864,0.13830398905999694,0.0,93390401.4,133232083.03,226622484.44,0.0,95262508.35,131673063.36,226935571.7,313087.25999999046,0.13815366148405397
252 - Farm machinery and equipment manufacturing,0.0,9.52,14.05,23.56,0.0,9.71,13.88,23.59,0.030000000000001137,0.127334465195251,0.0,7375122.18,10885953.85,18261076.03,0.0,7522964.11,10757528.65,18280492.76,19416.730000000447,0.10632850971159583
253 - Lawn and garden equipment manufacturing,0.0,11.8,11.2,23.0,0.0,12.04,11.07,23.1,0.10000000000000142,0.4347826086956583,0.0,7067556.23,6706488.84,13774045.07,0.0,7209232.69,6628350.11,13837582.8,63537.73000000045,0.46128591620762316
254 - Construction machinery manufacturing,0.0,9.32,5.31,14.63,0.0,9.51,5.24,14.75,0.11999999999999922,0.8202323991797622,0.0,7776959.48,4426930.53,12203890.01,0.0,7932856.65,4375087.78,12307944.44,104054.4299999997,0.8526332990115149
255 - Mining machinery and equipment manufacturing,0.0,6.93,2.04,8.97,0.0,7.07,2.01,9.08,0.10999999999999943,1.2263099219620894,0.0,3162363.75,929868.57,4092232.32,0.0,3225756.59,918955.52,4144712.11,52479.79000000004,1.2824245032110013
256 - Oil and gas field machinery and equipment manufacturing,0.0,34.73,9.9,44.63,0.0,35.42,9.78,45.2,0.5700000000000003,1.2771678243334086,0.0,20089894.58,5727037.21,25816931.79,0.0,20492617.24,5659679.6,26152296.84,335365.05000000075,1.2990120310497237
257 - Semiconductor machinery manufacturing,0.0,2.82,4.64,7.46,0.0,2.88,4.59,7.46,0.0,0.0,0.0,1936760.31,3189674.18,5126434.48,0.0,1975584.67,3152519.92,5128104.58,1670.0999999996275,0.03257819848308346
258 - Food product machinery manufacturing,0.0,2.86,6.39,9.25,0.0,2.92,6.31,9.23,-0.019999999999999574,-0.21621621621621162,0.0,1130118.71,2522128.94,3652247.65,0.0,1152773.11,2492526.55,3645299.66,-6947.989999999758,-0.1902387424357644
"259 - Sawmill, woodworking, and paper machinery",0.0,1.99,3.29,5.27,0.0,2.03,3.25,5.27,0.0,0.0,0.0,689002.45,1141152.16,1830154.61,0.0,702814.21,1127784.41,1830598.62,444.0100000000093,0.024260791824577556
26 - Stone mining and quarrying,0.0,154.88,114.94,269.82,0.0,157.99,113.59,271.58,1.759999999999991,0.6522867096582874,0.0,70740777.35,52499060.48,123239837.83,0.0,72158849.21,51883468.94,124042318.15,802480.3200000077,0.6511533398047541
260 - All other industrial machinery manufacturing,0.0,19.94,17.41,37.35,0.0,20.34,17.21,37.55,0.19999999999999574,0.5354752342704036,0.0,7383521.74,6447817.52,13831339.26,0.0,7531532.05,6372504.45,13904036.51,72697.25,0.5255980540527931
261 - Commercial and service industry machinery manufacturing,0.0,109.98,52.5,162.49,0.0,112.19,51.9,164.08,1.5900000000000034,0.9785217551849366,0.0,50315366.15,24020146.72,74335512.87,0.0,51323989.57,23741828.48,75065818.05,730305.1799999923,0.9824445299478463
262 - Industrial and commercial fan and blower and air purification equipment manufacturing,0.0,28.43,19.98,48.41,0.0,29.0,19.75,48.75,0.3400000000000034,0.7023342284652002,0.0,9668867.88,6795612.49,16464480.37,0.0,9862690.31,6716079.82,16578770.13,114289.76000000164,0.6941595327129152
263 - Heating equipment (except warm air furnaces) manufacturing,0.0,17.11,71.68,88.79,0.0,17.46,70.84,88.3,-0.4900000000000091,-0.5518639486428754,0.0,7071452.61,29616816.13,36688268.74,0.0,7213207.17,29273202.15,36486409.32,-201859.4200000018,-0.5502015410716864
"264 - Air conditioning, refrigeration, and warm air heating equipment manufacturing",0.0,97.52,191.65,289.17,0.0,99.48,189.42,288.89,-0.28000000000002956,-0.09682885499879985,0.0,51227865.29,100672051.8,151899917.09,0.0,52254780.7,99497989.53,151752770.23,-147146.8600000143,-0.09687092845009945
265 - Industrial mold manufacturing,0.0,31.13,11.64,42.76,0.0,31.75,11.5,43.25,0.490000000000002,1.1459307764265716,0.0,7210167.4,2695987.62,9906155.02,0.0,7354702.64,2664442.08,10019144.72,112989.70000000112,1.140600967498297
"266 - Special tool, die, jig, and fixture manufacturing",0.0,59.12,20.4,79.52,0.0,60.31,20.16,80.47,0.9500000000000028,1.1946680080482934,0.0,13890617.05,4792630.18,18683247.23,0.0,14169068.8,4736775.49,18905844.29,222597.05999999866,1.1914259724753353
267 - Cutting tool and machine tool accessory manufacturing,0.0,58.44,21.47,79.91,0.0,59.61,21.22,80.83,0.9200000000000017,1.1512952071079987,0.0,15622015.89,5739432.9,21361448.79,0.0,15935175.31,5672380.47,21607555.78,246106.9900000021,1.152108138448048
268 - Machine tool manufacturing,0.0,14.13,9.99,24.12,0.0,14.41,9.88,24.29,0.16999999999999815,0.7048092868988314,0.0,4852468.39,3431620.51,8284088.9,0.0,4949741.12,3391896.35,8341637.48,57548.580000000075,0.6946881026349206
269 - Rolling mill and other metalworking machinery manufacturing,0.0,7.71,28.41,36.12,0.0,7.86,28.09,35.95,-0.1699999999999946,-0.4706533776301069,0.0,2571248.39,9479526.91,12050775.29,0.0,2622791.71,9372266.85,11995058.57,-55716.71999999881,-0.4623496717778297
27 - Sand and gravel mining,0.0,80.13,75.78,155.91,0.0,81.74,74.89,156.63,0.7199999999999989,0.46180488743505793,0.0,26074899.57,24658413.21,50733312.79,0.0,26597597.83,24370148.38,50967746.22,234433.4299999997,0.46208973376209067
270 - Turbine and turbine generator set units manufacturing,0.0,17.83,4.89,22.71,0.0,18.18,4.83,23.01,0.3000000000000007,1.321003963011892,0.0,9588430.87,2628086.69,12216517.56,0.0,9780640.86,2597440.35,12378081.21,161563.65000000037,1.3225016802578915
"271 - Speed changer, industrial high-speed drive, and gear manufacturing",0.0,71.13,30.45,101.58,0.0,72.55,30.1,102.65,1.0700000000000074,1.0533569600315096,0.0,29434610.2,12603250.73,42037860.92,0.0,30024657.32,12456227.35,42480884.68,443023.7599999979,1.0538684659599893
272 - Mechanical power transmission equipment manufacturing,0.0,66.47,26.87,93.34,0.0,67.8,26.56,94.35,1.009999999999991,1.0820655667452228,0.0,25324427.48,10237183.18,35561610.66,0.0,25832081.76,10117850.1,35949931.86,388321.200000003,1.0919674131542922
273 - Other engine equipment manufacturing,0.0,770.93,107.19,878.13,0.0,786.39,105.96,892.35,14.220000000000027,1.6193502101055683,0.0,752745478.2,104664774.01,857410252.21,0.0,767835037.88,103463486.52,871298524.39,13888272.179999948,1.6197931088650408
"274 - Measuring, dispensing, and other pumping equipment manufacturing",0.0,98.68,49.45,148.13,0.0,100.66,48.88,149.54,1.4099999999999966,0.9518666036589459,0.0,56874335.52,28499032.84,85373368.36,0.0,58014440.25,28170323.82,86184764.07,811395.7099999934,0.9504084535806565
275 - Air and gas compressor manufacturing,0.0,2.24,2.04,4.28,0.0,2.28,2.02,4.3,0.019999999999999574,0.46728971962615823,0.0,1243046.06,1134727.71,2377773.77,0.0,1267964.2,1121504.33,2389468.54,11694.770000000019,0.4918369504934028
276 - Elevator and moving stairway manufacturing,0.0,1.94,1.34,3.28,0.0,1.98,1.32,3.3,0.020000000000000018,0.6097560975609762,0.0,1046422.07,721022.31,1767444.38,0.0,1067398.68,712632.24,1780030.92,12586.540000000037,0.7121321690473812
277 - Conveyor and conveying equipment manufacturing,0.0,16.15,8.0,24.16,0.0,16.48,7.91,24.39,0.23000000000000043,0.9519867549668891,0.0,5710989.89,2829173.58,8540163.47,0.0,5825472.58,2795904.31,8621376.88,81213.41000000015,0.9509584949431904
"278 - Overhead cranes, hoists, and monorail systems manufacturing",0.0,3.09,1.45,4.53,0.0,3.15,1.43,4.58,0.04999999999999982,1.1037527593818945,0.0,1808817.34,847779.33,2656596.68,0.0,1845076.95,837868.77,2682945.72,26349.040000000037,0.9918344097305745
"279 - Industrial truck, trailer, and stacker manufacturing",0.0,61.23,15.03,76.26,0.0,62.46,14.86,77.32,1.059999999999988,1.3899816417518858,0.0,31004893.93,7612922.84,38617816.76,0.0,31626419.01,7523615.48,39150034.5,532217.7400000021,1.378166309368552
"28 - Other clay, ceramic, refractory minerals mining",0.0,16.57,18.55,35.12,0.0,16.9,18.34,35.24,0.12000000000000455,0.34168564920274647,0.0,5457037.13,6110728.64,11567765.77,0.0,5566429.07,6038998.7,11605427.77,37662.0,0.32557713173682284
280 - Power-driven handtool manufacturing,0.0,11.07,17.67,28.74,0.0,11.29,17.47,28.76,0.020000000000003126,0.0695894224078049,0.0,6227602.51,9941400.52,16169003.04,0.0,6352441.23,9824633.73,16177074.96,8071.920000001788,0.04992218741027455
281 - Welding and soldering equipment manufacturing,0.0,14.66,7.57,22.23,0.0,14.96,7.48,22.44,0.21000000000000085,0.9446693657220012,0.0,6805317.13,3512897.75,10318214.88,0.0,6941736.73,3471952.82,10413689.55,95474.66999999993,0.9253022069259322
282 - Packaging machinery manufacturing,0.0,3.33,21.99,25.32,0.0,3.4,21.74,25.14,-0.17999999999999972,-0.7109004739336481,0.0,1370605.39,9041188.75,10411794.14,0.0,1398080.59,8936705.47,10334786.06,-77008.08000000007,-0.7396235361987292
283 - Industrial process furnace and oven manufacturing,0.0,6.97,1.79,8.75,0.0,7.1,1.77,8.87,0.11999999999999922,1.3714285714285626,0.0,2484198.61,637015.44,3121214.06,0.0,2533996.94,629553.55,3163550.48,42336.419999999925,1.3564087302618368
284 - Fluid power cylinder and actuator manufacturing,0.0,51.51,26.32,77.82,0.0,52.54,26.01,78.55,0.730000000000004,0.9380621948085376,0.0,18537678.54,9471140.54,28008819.08,0.0,18909285.43,9361673.61,28270959.03,262139.95000000298,0.9359193233076608
